CellLine	DrugName	PrimaryTarget	Pathway	GR50	GRmax	GR_AOC	Death_AUC	Hill_GR	GEC50	GR_r2
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.59453	-0.44403	0.39212	0.10352	0.61904	3.5069	0.96621
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	Inf	0.69237	0.14604	0.0085018	1.6543	0.024125	0.93749
HCC1806	AZD7762	CHK1/2	Cell cycle	0.016629	-0.48222	0.88969	0.39073	1.6771	0.023183	0.99277
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.0027998	-0.1323	0.72624	0.29495	5	0.0029495	0.99776
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.013395	-0.45851	0.64393	0.31138	3.471	0.016174	0.99891
HCC1806	Cisplatin	Chemo	Chemotherapy	0.82764	-0.36479	0.32306	0.1009	1.1777	1.5296	0.98889
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.015898	-0.32406	0.62806	0.19706	1.0948	0.021206	0.97525
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.0014225	-0.21127	0.83975	0.34932	2.1569	0.0016621	0.96243
HCC1806	Topotecan	Topo I	Chemotherapy	0.0052709	-0.5458	1.0747	0.35149	1.0834	0.0094879	0.95633
HCC1806	Etoposide	Topo II	Chemotherapy	0.096233	-0.56294	0.649	0.20186	0.97666	0.2057	0.99535
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.053677	-0.099193	0.62973	0.16252	1.4311	0.062326	0.98998
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	Inf	0.70358	0.10856	0.02799	4.8006	0.007609	0.89189
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	1.73	0.22128	0.23364	0.048042	0.65592	1.8399	0.97728
HCC1806	ABT-737	Bcl2/XL	Misc	12.0843	0.72927	-0.0285	0.01382	5	12.4641	0.7932
HCC1806	Vorinostat	HDAC	Misc	1.1276	0.017846	0.23971	0.049052	1.3263	1.2167	0.99564
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.010903	-0.17512	0.5413	0.20535	2.8582	0.012009	0.99662
HCC1806	A-1210477	Mcl-1	Misc	Inf	0.90468	-0.0077929	0.001488	4.2962	12.7646	0.58471
HCC1806	Olaparib/AZD2281	PARP	Misc	10.3367	0.48863	0.09529	0.022396	0.77438	42.7088	0.92848
HCC1806	Bleomycin	Radiation	Misc	8.9432	0.4813	0.12064	0.025282	0.8891	1.9034	0.96208
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	Inf	0.94497	0.014477	-0.0020129	0	Inf	0.32254
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	24.5643	0.72602	0.038596	0.0041776	0.93234	42.9713	0.94371
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	1.5787	-0.029721	0.25831	0.060503	0.57493	10.6705	0.98019
HCC1806	TGX221	PI3Kb	PI3K/mTOR	Inf	0.98191	-0.015444	0.0035233	0	Inf	-0.19348
