CellLine	DrugName	PrimaryTarget	Pathway	Conc	GRvalue	IncreasedFracDead
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.001	0.97793	0.0036208
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.0031623	0.96672	-0.0030107
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.01	0.91678	0.0048369
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.031623	0.76584	0.016497
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.1	0.71322	0.010248
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.31623	0.65671	0.017802
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	1	0.45013	0.042497
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	3.1623	0.12669	0.14911
HCC1806	Abemaciclib/LY2835219	CDK4/6	Cell cycle	10	-0.44403	0.6901
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.00031623	1.0473	7.0085e-05
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.001	1.0121	0.0016529
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.0031623	0.95347	-0.0015713
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.01	0.94965	0.0043108
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.031623	0.84697	0.0094081
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.1	0.73228	0.022678
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.31623	0.72874	0.015386
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	1	0.69237	0.018444
HCC1806	Palbociclib/PD0332991	CDK4/6	Cell cycle	3.1623	0.78475	0.0061367
HCC1806	AZD7762	CHK1/2	Cell cycle	0.001	1.037	0.0036536
HCC1806	AZD7762	CHK1/2	Cell cycle	0.0031623	0.99725	0.0085216
HCC1806	AZD7762	CHK1/2	Cell cycle	0.01	0.72675	0.06774
HCC1806	AZD7762	CHK1/2	Cell cycle	0.031623	0.12541	0.31387
HCC1806	AZD7762	CHK1/2	Cell cycle	0.1	-0.24829	0.52952
HCC1806	AZD7762	CHK1/2	Cell cycle	0.31623	-0.28866	0.58594
HCC1806	AZD7762	CHK1/2	Cell cycle	1	-0.3313	0.62585
HCC1806	AZD7762	CHK1/2	Cell cycle	3.1623	-0.37606	0.66396
HCC1806	AZD7762	CHK1/2	Cell cycle	10	-0.48222	0.7175
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.0001	1.0118	0.00038628
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.00031623	1.0541	-0.0036821
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.001	0.98516	0.0074775
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.0031623	0.32711	0.18652
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.01	-0.18597	0.51709
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.031623	-0.16623	0.51589
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.1	-0.1298	0.49534
HCC1806	Volasertib/BI6727	PLK	Cell cycle	0.31623	-0.1323	0.48287
HCC1806	Volasertib/BI6727	PLK	Cell cycle	1	-0.12761	0.4527
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0001	1.0433	-0.0028499
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.00031623	1.055	-0.010894
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.001	1.0024	0.0019917
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0031623	0.99673	0.00058634
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.01	0.76788	0.035474
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.031623	-0.33117	0.59546
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.1	-0.47557	0.73826
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.31623	-0.45851	0.7262
HCC1806	Dinaciclib/SCH727965	pan CDK	Cell cycle	1	-0.44974	0.71822
HCC1806	Cisplatin	Chemo	Chemotherapy	0.0010833	1.0443	-0.001679
HCC1806	Cisplatin	Chemo	Chemotherapy	0.0033333	1.0548	-0.004972
HCC1806	Cisplatin	Chemo	Chemotherapy	0.01	0.94429	0.0053747
HCC1806	Cisplatin	Chemo	Chemotherapy	0.031667	1.0951	-0.0019287
HCC1806	Cisplatin	Chemo	Chemotherapy	0.1	0.97328	-0.0068184
HCC1806	Cisplatin	Chemo	Chemotherapy	0.31623	0.70897	0.019903
HCC1806	Cisplatin	Chemo	Chemotherapy	1	0.48651	0.10898
HCC1806	Cisplatin	Chemo	Chemotherapy	3.1623	-0.1138	0.28875
HCC1806	Cisplatin	Chemo	Chemotherapy	10	-0.36479	0.50046
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.00031623	0.92949	0.0055221
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.001	0.99494	0.0011551
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.0031623	0.94106	0.013763
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.01	0.6358	0.10489
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.031623	0.20743	0.21696
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.1	0.032482	0.2486
HCC1806	Doxorubicin	Chemo	Chemotherapy	0.31623	-0.0087477	0.27447
HCC1806	Doxorubicin	Chemo	Chemotherapy	1	-0.13013	0.33133
HCC1806	Doxorubicin	Chemo	Chemotherapy	3.1623	-0.32406	0.57687
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.0001	0.73618	0.037609
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.00031623	1.0636	-0.0019117
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.001	0.68901	0.091199
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.0031623	0.039194	0.34787
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.01	-0.14934	0.46357
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.031623	-0.17702	0.52601
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.1	-0.22223	0.5508
HCC1806	Paclitaxel	Chemo	Chemotherapy	0.31623	-0.21127	0.55998
HCC1806	Paclitaxel	Chemo	Chemotherapy	1	-0.2088	0.56878
HCC1806	Topotecan	Topo I	Chemotherapy	0.0010833	0.84017	0.012239
HCC1806	Topotecan	Topo I	Chemotherapy	0.0033333	0.81476	0.035196
HCC1806	Topotecan	Topo I	Chemotherapy	0.01	0.10023	0.20611
HCC1806	Topotecan	Topo I	Chemotherapy	0.031667	-0.14098	0.36642
HCC1806	Topotecan	Topo I	Chemotherapy	0.1	-0.19304	0.4512
HCC1806	Topotecan	Topo I	Chemotherapy	0.31623	-0.31655	0.52031
HCC1806	Topotecan	Topo I	Chemotherapy	1	-0.4557	0.51347
HCC1806	Topotecan	Topo I	Chemotherapy	3.1623	-0.5081	0.5083
HCC1806	Topotecan	Topo I	Chemotherapy	10	-0.5458	0.55016
HCC1806	Etoposide	Topo II	Chemotherapy	0.0010833	1.0669	-0.0036693
HCC1806	Etoposide	Topo II	Chemotherapy	0.0033333	1.0136	-0.010344
HCC1806	Etoposide	Topo II	Chemotherapy	0.01	0.9215	0.013523
HCC1806	Etoposide	Topo II	Chemotherapy	0.031667	0.84081	0.025236
HCC1806	Etoposide	Topo II	Chemotherapy	0.1	0.43649	0.064993
HCC1806	Etoposide	Topo II	Chemotherapy	0.31623	0.053205	0.26506
