cell_line,agent,GR_AOC,GRmax,GR50
HCC1806,Abemaciclib/LY2835219,0.40659,-0.47327,0.53809
HCC1806,Palbociclib/PD0332991,0.15633,0.67716,inf
HCC1806,AZD7762,0.88116,-0.42964,0.016059999999999998
HCC1806,Volasertib/BI6727,0.7559999999999999,-0.18824,0.0027316
HCC1806,Dinaciclib/SCH727965,0.63986,-0.45348,0.013158
HCC1806,Cisplatin,0.31919000000000003,-0.16577,0.74421
HCC1806,Doxorubicin,0.64715,-0.38662,0.014695
HCC1806,Paclitaxel,0.87103,-0.24594,0.001342
HCC1806,Topotecan,0.99036,-0.34465,0.0051806000000000005
HCC1806,Etoposide,0.61222,-0.37928,0.093903
HCC1806,Dasatinib,0.6802600000000001,-0.17215,0.048106
HCC1806,Trametinib/GSK1120212,0.12372,0.68053,inf
HCC1806,Saracatinib/AZD0530,0.25874,0.12122,1.3161
HCC1806,ABT-737,-0.027881,0.7236899999999999,12.0239
HCC1806,Vorinostat,0.25341,-0.019023,1.0249
HCC1806,Luminespib/NVP-AUY922,0.54087,-0.14655,0.010389
HCC1806,A-1210477,-0.006280699999999999,0.88875,inf
HCC1806,Olaparib/AZD2281,0.10094,0.45754,9.3266
HCC1806,Bleomycin,0.12922999999999998,0.4733100000000001,7.8858
HCC1806,Ipatasertib/GDC0068,0.019514,0.93591,inf
HCC1806,Alpelisib/BYL719,0.039991000000000006,0.71922,23.5996
HCC1806,Taselisib/GDC0032,0.26948,-0.082812,1.3977
HCC1806,TGX221,-0.011613,0.97316,inf
HCC1806,Torin2,0.39412,-0.1492,0.034422
HCC1806,Everolimus,0.19814,0.81688,inf
HCC1806,INK128/MLN0128,0.39813,0.22261,0.050531
HCC1806,PF-4708671,-0.019378,1.05,inf
HCC1806,Buparlisib/NVP-BKM120,0.30784,-0.28153,1.0259
HCC1806,Pictilisib/GDC0941,0.12398,0.15447,5.5779999999999985
HCC1806,Ceritinib/LDK378,0.21192,-0.7049300000000001,1.9528
HCC1806,Neratinib/HKI272,0.20925,-0.14398,0.67065
HCC1806,Tivantinib/ARQ197,0.45907,-0.27486,0.26155
HCC1806,Cediranib/AZD2171,0.072917,0.02536,4.6458
HCC1806,Cabozantinib,0.0054805,0.5955199999999999,10.5865
HS578T,Abemaciclib/LY2835219,0.6201300000000001,-0.66651,0.091113
HS578T,Palbociclib/PD0332991,0.30078,0.34702,0.21823
HS578T,AZD7762,0.8422,-0.58749,0.015571000000000003
HS578T,Volasertib/BI6727,0.8415100000000001,-0.31266,0.0024789
HS578T,Dinaciclib/SCH727965,0.5857100000000001,-0.16398,0.0087822
HS578T,Cisplatin,0.24458,-0.013325,1.4586
HS578T,Doxorubicin,0.7780199999999999,-0.35972,0.0040363
HS578T,Paclitaxel,0.97901,-0.39017,0.00094274
HS578T,Topotecan,1.0272,-0.44539,0.004767
HS578T,Etoposide,0.38559,-0.1415,0.39787
HS578T,Dasatinib,0.65955,-0.18002,0.045317
HS578T,Trametinib/GSK1120212,0.46715,0.23643000000000006,0.007418300000000002
HS578T,Saracatinib/AZD0530,0.13946,0.24214,4.8551
HS578T,ABT-737,0.02808,0.79143,inf
HS578T,Vorinostat,0.27821,-0.19676,0.9068
HS578T,Luminespib/NVP-AUY922,0.6448699999999999,-0.079194,0.0033313
HS578T,A-1210477,-0.008442700000000001,0.9439,inf
HS578T,Olaparib/AZD2281,0.094512,0.4595,9.2298
HS578T,Bleomycin,0.46297,-0.21967,0.22876
HS578T,Ipatasertib/GDC0068,0.21626,0.48288,10.242
HS578T,Alpelisib/BYL719,0.07975499999999999,0.5633600000000001,13.0042
HS578T,Taselisib/GDC0032,0.35646,-0.024601,0.67503
HS578T,TGX221,0.066398,0.7265699999999999,45.4683
