timepoint,agent,cell_line,GR50,GRmax,GR_AOC,GEC50,GRinf,h_GR,r2_GR,pval_GR,receptor_status,color_map
72,AZD1775,BT20,2.100100506,-0.546701564,0.174781107,4.80064618,-1.0,1.32880789,0.939088312,5.58e-05,TNBC,#ca7832
72,AZD1775,BT549,0.452441517,-0.350953096,0.385219535,0.766396172,-0.279753494,0.843141183,0.943181947,4.370000000000001e-05,TNBC,#ca7832
72,AZD1775,HCC1806,0.01373212,-0.450876229,0.81037872,0.044842753,-0.429542471,0.523974672,0.978101783,1.55e-06,TNBC,#ca7832
72,AZD1775,HCC1954,1.553314911,-0.251625158,0.27588432,7.72049465,-0.893687676,0.639294445,0.841978983,0.0015685629999999998,HER2amp,#4dab9b
72,AZD1775,HCC70,0.000746137,-0.555714764,1.021973829,0.009860565,-0.588201002,0.301261483,0.926316198,0.000108593,TNBC,#ca7832
72,AZD1775,MCF10A,6.347605464,0.117681967,0.080793315,11.37729973,-1.0,1.882660383,0.97890141,1.36e-06,NM,#c85f61
72,AZD1775,MDAMB231,0.06692377,-0.234222066,0.57795863,0.113974729,-0.209554577,0.657427679,0.982542054,7.03e-07,TNBC,#ca7832
72,AZD2014,BT20,0.144606954,0.141564994,0.486381078,0.930827436,-0.317946709,0.264325822,0.944971588,3.91e-05,TNBC,#ca7832
72,AZD2014,BT549,0.178826762,0.092974349,0.481805594,28.93219848,-1.0,0.215994698,0.957695669,1.56e-05,TNBC,#ca7832
72,AZD2014,HCC1806,1.889163824,0.407788997,0.346174553,2.7917141130000003,-0.045947993,0.225123657,0.937353734,6.15e-05,TNBC,#ca7832
72,AZD2014,HCC1954,0.05990873,0.100250541,0.555373364,6.705584539,-0.738420269,0.192244181,0.967591999,6.13e-06,HER2amp,#4dab9b
72,AZD2014,HCC70,0.00013339,0.08200286,0.759983187,0.002245244,-0.227204532,0.13268190300000002,0.95346454,2.17e-05,TNBC,#ca7832
72,AZD2014,MCF10A,0.51077416,0.180334668,0.395327041,4.85215331,-0.438922501,0.279899945,0.971375144,3.97e-06,NM,#c85f61
72,AZD2014,MDAMB231,0.680843947,0.250750033,0.394488055,136.8130827,-1.0,0.207166596,0.984258167,4.89e-07,TNBC,#ca7832
72,AZD5363,BT20,1.898519215,0.216400452,0.299580984,100.4347128,-1.0,0.27683776,0.912839722,0.000195486,TNBC,#ca7832
72,AZD5363,BT549,74.52708815,0.576848215,0.200836916,1000.0,-0.333814132,0.196951348,0.8466993629999999,0.0014106,TNBC,#ca7832
72,AZD5363,HCC1806,inf,0.778647,0.073262911,0.0,0.922493078,0.01,-2.89e-15,0.051744049,TNBC,#ca7832
