cell_line,agent,PrimaryTarget,Pathway,concentration,GRvalue,IncreasedFracDead,receptor_status,color_map
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.001,0.97793,0.0036208,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.0031623000000000003,0.96672,-0.0030107,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.01,0.9167799999999999,0.0048369,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.031623000000000005,0.76584,0.016497,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.1,0.71322,0.010248,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,0.31623,0.65671,0.017802000000000002,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,1.0,0.45013000000000003,0.042497,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,3.1623,0.12669,0.14911,TNBC,#ca7832
HCC1806,Abemaciclib/LY2835219,CDK4/6,Cell cycle,10.0,-0.44403000000000004,0.6901,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.00031623,1.0473,7.0085e-05,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.001,1.0121,0.0016529,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.0031623000000000003,0.95347,-0.0015712999999999999,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.01,0.94965,0.0043108,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.031623000000000005,0.8469700000000001,0.0094081,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.1,0.73228,0.022678,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,0.31623,0.7287399999999999,0.015386000000000002,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,1.0,0.6923699999999999,0.018444,TNBC,#ca7832
HCC1806,Palbociclib/PD0332991,CDK4/6,Cell cycle,3.1623,0.78475,0.0061367,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,0.001,1.037,0.0036536000000000003,TNBC,#ca7832
