GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
1.135942017,AZD1775,,,,BT20,0.001,72,TNBC,#ca7832
1.169529779,AZD1775,,,,BT20,0.0031622779999999997,72,TNBC,#ca7832
1.125432266,AZD1775,,,,BT20,0.01,72,TNBC,#ca7832
1.091565069,AZD1775,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
1.061585616,AZD1775,,,,BT20,0.1,72,TNBC,#ca7832
0.787088175,AZD1775,,,,BT20,0.316227766,72,TNBC,#ca7832
0.651052338,AZD1775,,,,BT20,1.0,72,TNBC,#ca7832
0.42087767200000004,AZD1775,,,,BT20,3.16227766,72,TNBC,#ca7832
-0.546701564,AZD1775,,,,BT20,10.0,72,TNBC,#ca7832
1.0800634679999999,AZD1775,,,,BT549,0.001,72,TNBC,#ca7832
1.024729272,AZD1775,,,,BT549,0.0031622779999999997,72,TNBC,#ca7832
0.955691532,AZD1775,,,,BT549,0.01,72,TNBC,#ca7832
0.814470075,AZD1775,,,,BT549,0.031622777000000005,72,TNBC,#ca7832
0.76891164,AZD1775,,,,BT549,0.1,72,TNBC,#ca7832
0.47484285600000004,AZD1775,,,,BT549,0.316227766,72,TNBC,#ca7832
0.345720049,AZD1775,,,,BT549,1.0,72,TNBC,#ca7832
0.169323101,AZD1775,,,,BT549,3.16227766,72,TNBC,#ca7832
-0.350953096,AZD1775,,,,BT549,10.0,72,TNBC,#ca7832
0.8749596559999999,AZD1775,,,,HCC1806,0.001,72,TNBC,#ca7832
0.738943928,AZD1775,,,,HCC1806,0.0031622779999999997,72,TNBC,#ca7832
0.561062091,AZD1775,,,,HCC1806,0.01,72,TNBC,#ca7832
0.25173624899999997,AZD1775,,,,HCC1806,0.031622777000000005,72,TNBC,#ca7832
0.18112803100000002,AZD1775,,,,HCC1806,0.1,72,TNBC,#ca7832
-0.083570735,AZD1775,,,,HCC1806,0.316227766,72,TNBC,#ca7832
-0.14389764300000002,AZD1775,,,,HCC1806,1.0,72,TNBC,#ca7832
-0.200473414,AZD1775,,,,HCC1806,3.16227766,72,TNBC,#ca7832
-0.45087622899999996,AZD1775,,,,HCC1806,10.0,72,TNBC,#ca7832
1.0341098690000001,AZD1775,,,,HCC1954,0.001,72,HER2amp,#4dab9b
0.975966142,AZD1775,,,,HCC1954,0.0031622779999999997,72,HER2amp,#4dab9b
0.9098499520000001,AZD1775,,,,HCC1954,0.01,72,HER2amp,#4dab9b
0.760676835,AZD1775,,,,HCC1954,0.031622777000000005,72,HER2amp,#4dab9b
0.809300152,AZD1775,,,,HCC1954,0.1,72,HER2amp,#4dab9b
0.729701142,AZD1775,,,,HCC1954,0.316227766,72,HER2amp,#4dab9b
0.609856473,AZD1775,,,,HCC1954,1.0,72,HER2amp,#4dab9b
0.6063323820000001,AZD1775,,,,HCC1954,3.16227766,72,HER2amp,#4dab9b
-0.251625158,AZD1775,,,,HCC1954,10.0,72,HER2amp,#4dab9b
0.550369731,AZD1775,,,,HCC70,0.001,72,TNBC,#ca7832
0.331072404,AZD1775,,,,HCC70,0.0031622779999999997,72,TNBC,#ca7832
0.137532744,AZD1775,,,,HCC70,0.01,72,TNBC,#ca7832
-0.014540217,AZD1775,,,,HCC70,0.031622777000000005,72,TNBC,#ca7832
-0.009189446,AZD1775,,,,HCC70,0.1,72,TNBC,#ca7832
-0.193595143,AZD1775,,,,HCC70,0.316227766,72,TNBC,#ca7832
-0.209465065,AZD1775,,,,HCC70,1.0,72,TNBC,#ca7832
-0.214933414,AZD1775,,,,HCC70,3.16227766,72,TNBC,#ca7832
-0.555714764,AZD1775,,,,HCC70,10.0,72,TNBC,#ca7832
1.0441127479999999,AZD1775,,,,MCF10A,0.001,72,NM,#c85f61
1.030733395,AZD1775,,,,MCF10A,0.0031622779999999997,72,NM,#c85f61
1.040340207,AZD1775,,,,MCF10A,0.01,72,NM,#c85f61
1.013273547,AZD1775,,,,MCF10A,0.031622777000000005,72,NM,#c85f61
0.992696432,AZD1775,,,,MCF10A,0.1,72,NM,#c85f61
0.921308857,AZD1775,,,,MCF10A,0.316227766,72,NM,#c85f61
0.919579437,AZD1775,,,,MCF10A,1.0,72,NM,#c85f61
0.854824246,AZD1775,,,,MCF10A,3.16227766,72,NM,#c85f61
0.117681967,AZD1775,,,,MCF10A,10.0,72,NM,#c85f61
1.0009844479999999,AZD1775,,,,MDAMB231,0.001,72,TNBC,#ca7832
0.922386822,AZD1775,,,,MDAMB231,0.0031622779999999997,72,TNBC,#ca7832
0.856760194,AZD1775,,,,MDAMB231,0.01,72,TNBC,#ca7832
0.574923885,AZD1775,,,,MDAMB231,0.031622777000000005,72,TNBC,#ca7832
0.38444835299999996,AZD1775,,,,MDAMB231,0.1,72,TNBC,#ca7832
0.188726657,AZD1775,,,,MDAMB231,0.316227766,72,TNBC,#ca7832
0.088723148,AZD1775,,,,MDAMB231,1.0,72,TNBC,#ca7832
-0.023019297,AZD1775,,,,MDAMB231,3.16227766,72,TNBC,#ca7832
-0.234222066,AZD1775,,,,MDAMB231,10.0,72,TNBC,#ca7832
0.750398098,AZD2014,,,,BT20,0.001,72,TNBC,#ca7832
0.808410683,AZD2014,,,,BT20,0.0031622779999999997,72,TNBC,#ca7832
0.700083785,AZD2014,,,,BT20,0.01,72,TNBC,#ca7832
0.638499477,AZD2014,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
0.576489747,AZD2014,,,,BT20,0.1,72,TNBC,#ca7832
0.31766920600000004,AZD2014,,,,BT20,0.316227766,72,TNBC,#ca7832
0.390278316,AZD2014,,,,BT20,1.0,72,TNBC,#ca7832
0.231538613,AZD2014,,,,BT20,3.16227766,72,TNBC,#ca7832
0.141564994,AZD2014,,,,BT20,10.0,72,TNBC,#ca7832
0.718868415,AZD2014,,,,BT549,0.001,72,TNBC,#ca7832
0.7573907590000001,AZD2014,,,,BT549,0.0031622779999999997,72,TNBC,#ca7832
0.708361452,AZD2014,,,,BT549,0.01,72,TNBC,#ca7832
0.660459436,AZD2014,,,,BT549,0.031622777000000005,72,TNBC,#ca7832
0.57884423,AZD2014,,,,BT549,0.1,72,TNBC,#ca7832
0.410377993,AZD2014,,,,BT549,0.316227766,72,TNBC,#ca7832
0.42717959999999994,AZD2014,,,,BT549,1.0,72,TNBC,#ca7832
0.19702039600000001,AZD2014,,,,BT549,3.16227766,72,TNBC,#ca7832
0.092974349,AZD2014,,,,BT549,10.0,72,TNBC,#ca7832
0.7802176959999999,AZD2014,,,,HCC1806,0.001,72,TNBC,#ca7832
0.8578270659999999,AZD2014,,,,HCC1806,0.0031622779999999997,72,TNBC,#ca7832
0.79208061,AZD2014,,,,HCC1806,0.01,72,TNBC,#ca7832
0.7530938620000001,AZD2014,,,,HCC1806,0.031622777000000005,72,TNBC,#ca7832
0.669336711,AZD2014,,,,HCC1806,0.1,72,TNBC,#ca7832
0.539395198,AZD2014,,,,HCC1806,0.316227766,72,TNBC,#ca7832
0.555373628,AZD2014,,,,HCC1806,1.0,72,TNBC,#ca7832
0.469493151,AZD2014,,,,HCC1806,3.16227766,72,TNBC,#ca7832
0.40778899700000004,AZD2014,,,,HCC1806,10.0,72,TNBC,#ca7832
0.755098466,AZD2014,,,,HCC1954,0.001,72,HER2amp,#4dab9b
0.657927825,AZD2014,,,,HCC1954,0.0031622779999999997,72,HER2amp,#4dab9b
0.5989899479999999,AZD2014,,,,HCC1954,0.01,72,HER2amp,#4dab9b
0.518259481,AZD2014,,,,HCC1954,0.031622777000000005,72,HER2amp,#4dab9b
0.53041121,AZD2014,,,,HCC1954,0.1,72,HER2amp,#4dab9b
0.31563295,AZD2014,,,,HCC1954,0.316227766,72,HER2amp,#4dab9b
0.33653997700000005,AZD2014,,,,HCC1954,1.0,72,HER2amp,#4dab9b
0.171577182,AZD2014,,,,HCC1954,3.16227766,72,HER2amp,#4dab9b
0.100250541,AZD2014,,,,HCC1954,10.0,72,HER2amp,#4dab9b
0.403800922,AZD2014,,,,HCC70,0.001,72,TNBC,#ca7832
0.385301254,AZD2014,,,,HCC70,0.0031622779999999997,72,TNBC,#ca7832
0.335580073,AZD2014,,,,HCC70,0.01,72,TNBC,#ca7832
0.284775614,AZD2014,,,,HCC70,0.031622777000000005,72,TNBC,#ca7832
0.246826493,AZD2014,,,,HCC70,0.1,72,TNBC,#ca7832
0.137045168,AZD2014,,,,HCC70,0.316227766,72,TNBC,#ca7832
0.19011529,AZD2014,,,,HCC70,1.0,72,TNBC,#ca7832
0.09758871400000001,AZD2014,,,,HCC70,3.16227766,72,TNBC,#ca7832
0.08200286,AZD2014,,,,HCC70,10.0,72,TNBC,#ca7832
0.896264345,AZD2014,,,,MCF10A,0.001,72,NM,#c85f61
0.8582160329999999,AZD2014,,,,MCF10A,0.0031622779999999997,72,NM,#c85f61
0.8113730159999999,AZD2014,,,,MCF10A,0.01,72,NM,#c85f61
0.6622161560000001,AZD2014,,,,MCF10A,0.031622777000000005,72,NM,#c85f61
0.625494096,AZD2014,,,,MCF10A,0.1,72,NM,#c85f61
0.4906411,AZD2014,,,,MCF10A,0.316227766,72,NM,#c85f61
0.5040109629999999,AZD2014,,,,MCF10A,1.0,72,NM,#c85f61
0.347132793,AZD2014,,,,MCF10A,3.16227766,72,NM,#c85f61
0.180334668,AZD2014,,,,MCF10A,10.0,72,NM,#c85f61
0.8465463520000001,AZD2014,,,,MDAMB231,0.001,72,TNBC,#ca7832
0.7968942459999999,AZD2014,,,,MDAMB231,0.0031622779999999997,72,TNBC,#ca7832
0.754720947,AZD2014,,,,MDAMB231,0.01,72,TNBC,#ca7832
0.686495258,AZD2014,,,,MDAMB231,0.031622777000000005,72,TNBC,#ca7832
0.626529629,AZD2014,,,,MDAMB231,0.1,72,TNBC,#ca7832
0.5439029360000001,AZD2014,,,,MDAMB231,0.316227766,72,TNBC,#ca7832
0.533395406,AZD2014,,,,MDAMB231,1.0,72,TNBC,#ca7832
0.353508937,AZD2014,,,,MDAMB231,3.16227766,72,TNBC,#ca7832
0.250750033,AZD2014,,,,MDAMB231,10.0,72,TNBC,#ca7832
0.91540265,AZD5363,,,,BT20,0.001,72,TNBC,#ca7832
0.912583602,AZD5363,,,,BT20,0.0031622779999999997,72,TNBC,#ca7832
0.85377895,AZD5363,,,,BT20,0.01,72,TNBC,#ca7832
0.692937659,AZD5363,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
0.742747081,AZD5363,,,,BT20,0.1,72,TNBC,#ca7832
0.6802425809999999,AZD5363,,,,BT20,0.316227766,72,TNBC,#ca7832
0.6202573229999999,AZD5363,,,,BT20,1.0,72,TNBC,#ca7832
